BongZilla,"985772695","1"
Scarleigh,"531183844","2"
RAWR,"477846383","3"
Mal Blue,"361157441","4"
AUNTYYroseASORUS,"314689109","5"
black swordsman,"305651884","6"
TyrianosaurusRex,"299115441","7"
GAMZEeSauruS,"296561485","8"
Leightscar,"291790318","9"
DURUSAURUS REX,"284596846","10"
MeSaurus,"280690562","11"
yasmin,"273262353","12"
runopunisaurus,"258587458","13"
Heradactyl,"257232771","14"
Samaelritops,"249504216","15"
Debugsaurous,"247897598","16"
JV111,"247494944","17"
NinjatitanJuke,"241174091","18"
LunasaurusRex,"239716398","19"
kaos505,"237745960","20"
BêBë,"232429031","21"
Roronoa,"229295143","22"
Lady Minnie,"229210532","23"
*Mëwlôdy*,"228702778","24"
Blank,"223081818","25"
Yukina,"225816418","26"
Scooby,"224233644","27"
R10ur,"216992420","28"
Legend_Mati,"216606037","29"
Master Rex,"213340684","30"
Rex Orion,"212487673","31"
Fronanisss,"208819273","32"
Kittydactyl,"208633645","33"
King UnoCapybara,"208153312","34"
Barisaurus,"208014278","35"
Awang,"207960440","36"
Nyx,"204995430","37"
CHICKEYSAUROS,"203235933","38"
NiZaR,"202992525","39"
Lidya,"201948522","40"
Mo§cHaTo,"201280963","41"
CPJ Papasauraus,"200621758","42"
blakeagl3,"199557900","43"
Nemesarus,"198946957","44"
chicken jeff,"195946957","45"
Gardevoir,"195890299","46"
No Mad Greymon,"194186116","47"
Frikisaurus,"193605287","48"
Ryannasaurus Rex,"193380537","49"
Avysorus,"193135761","50"
Blossy,"191590397","51"
Lord Sidekick,"191299121","52"
IKHAY,"189912165","53"
PolloSaurio,"187292230","54"
CutieQuisaurus,"187097361","55"
IZEbearosauros,"183135786","56"
chopperatops,"180976152","57"
TiGrOusaurusRex,"178454489","58"
MorDuatops,"178206324","59"
Galactus,"177182244","60"
Fidem,"174584424","61"
Henry,"172293217","62"
Its Nova,"171597552","63"
Florasaurus,"170531402","64"
Essence,"169121192","65"
MommasaurusRex,"169912913","66"
Randomgamer,"165792185","67"
MichaelMax,"164042803","68"
Angelosaurus Rex,"163955148","69"
lamTheWizard,"162530107","70"
Misfit,"161625795","71"
Pagan,"161376640","72"
lil Gnossaurus,"160747060","73"
Cordonosaurus,"160726744","74"
Girlysaurus,"160137114","75"
WillFree,"157059213","76"
Papa Smurf,"156408883","77"
Aracix,"154149777","78"
Galllade,"149893138","79"
FOOTYSAURUS,"149236860","80"
assdoraptor,"148699576","81"
RAEDksa,"148151667","82"
Stalker Raptor,"135343824","83"
Archängel,"130880493","84"
Wessam Il,"130360723","85"
Ruthless,"125396116","86"
DND,"122155706","87"
Howie,"113510387","88"
Darkkkasaurus,"110398278","89"
Anyaforger,"100077618","90"
505Jay,"100045778","91"
allie,"93430157","92"
ArwenAragorn,"93273191","93"
JOKER,"93140674","94"
Tanya,"84994740","95"
Douthinkhesawus,"2813503","96"
Caragh Tap,"2211969","97"
