1	BongZilla	985\t772\t695
2	Scarleigh	531\t183\t844
3	RAWR	477\t846\t383
4	Mal Blue	361\t157\t441
5	AUNTYYroseASORUS	314\t689\t109
6	black swordsman	305\t651\t884
7	TyrianosaurusRex	299\t115\t441
8	GAMZEeSauruS	296\t561\t485
9	Leightscar	291\t790\t318
10	DURUSAURUS REX	284\t596\t846
11	MeSaurus	280\t690\t562
12	yasmin	273\t262\t353
13	runopunisaurus	258\t587\t458
14	Heradactyl	257\t232\t771
15	Samaelritops	249\t504\t216
16	Debugsaurous	247\t897\t598
17	JV111	247\t494\t944
18	NinjatitanJuke	241\t174\t091
19	LunasaurusRex	239\t716\t398
20	kaos505	237\t745\t960
21	BêBë	232\t429\t031
22	Roronoa	229\t295\t143
23	Lady Minnie	229\t210\t532
24	*Mëwlôdy*	228\t702\t778
25	Blank	223\t081\t818
26	Yukina	225\t816\t418
27	Scooby	224\t233\t644
28	R10ur	216\t992\t420
29	Legend_Mati	216\t606\t037
30	Master Rex	213\t340\t684
31	Rex Orion	212\t487\t673
32	Fronanisss	208\t819\t273
33	Kittydactyl	208\t633\t645
34	King UnoCapybara	208\t153\t312
35	Barisaurus	208\t014\t278
36	Awang	207\t960\t440
37	Nyx	204\t995\t430
38	CHICKEYSAUROS	203\t235\t933
39	NiZaR	202\t992\t525
40	Lidya	201\t948\t522
41	Mo§cHaTo	201\t280\t963
42	CPJ Papasauraus	200\t621\t758
43	blakeagl3	199\t557\t900
44	Nemesarus	198\t946\t957
45	chicken jeff	195\t946\t957
46	Gardevoir	195\t890\t299
47	No Mad Greymon	194\t186\t116
48	Frikisaurus	193\t605\t287
49	Ryannasaurus Rex	193\t380\t537
50	Avysorus	193\t135\t761
51	Blossy	191\t590\t397
52	Lord Sidekick	191\t299\t121
53	IKHAY	189\t912\t165
54	PolloSaurio	187\t292\t230
55	CutieQuisaurus	187\t097\t361
56	IZEbearosauros	183\t135\t786
57	chopperatops	180\t976\t152
58	TiGrOusaurusRex	178\t454\t489
59	MorDuatops	178\t206\t324
60	Galactus	177\t182\t244
61	Fidem	174\t584\t424
62	Henry	172\t293\t217
63	Its Nova	171\t597\t552
64	Florasaurus	170\t531\t402
65	Essence	169\t121\t192
66	MommasaurusRex	169\t912\t913
67	Randomgamer	165\t792\t185
68	MichaelMax	164\t042\t803
69	Angelosaurus Rex	163\t955\t148
70	lamTheWizard	162\t530\t107
71	Misfit	161\t625\t795
72	Pagan	161\t376\t640
73	lil Gnossaurus	160\t747\t060
74	Cordonosaurus	160\t726\t744
75	Girlysaurus	160\t137\t114
76	WillFree	157\t059\t213
77	Papa Smurf	156\t408\t883
78	Aracix	154\t149\t777
79	Galllade	149\t893\t138
80	FOOTYSAURUS	149\t236\t860
81	assdoraptor	148\t699\t576
82	RAEDksa	148\t151\t667
83	Stalker Raptor	135\t343\t824
84	Archängel	130\t880\t493
85	Wessam Il	130\t360\t723
86	Ruthless	125\t396\t116
87	DND	122\t155\t706
88	Howie	113\t510\t387
89	Darkkkasaurus	110\t398\t278
90	Anyaforger	100\t077\t618
91	505Jay	100\t045\t778
92	allie	93\t430\t157
93	ArwenAragorn	93\t273\t191
94	JOKER	93\t140\t674
95	Tanya	84\t994\t740
96	Douthinkhesawus	2\t813\t503
97	Caragh Tap	2\t211\t969
